15,11,5,8,4,7,10,3,1,12,2,14,6,13,9
9,6,5,2,10,14,11,8,1,13,12,15,3,7,4
13,9,15,5,1,11,12,7,14,4,2,10,3,8,6
3,2,14,5,11,9,12,7,1,8,10,6,4,13,15
6,11,8,2,13,4,10,15,7,9,5,12,14,3,1
5,9,10,14,15,13,3,12,6,4,8,1,11,7,2
1,3,14,8,11,7,15,9,4,5,2,10,12,6,13
8,6,2,12,10,1,4,14,7,9,11,15,5,3,13
10,6,13,1,7,14,8,15,11,12,4,5,2,3,9
11,2,8,7,14,5,10,12,1,15,13,3,4,6,9
9,3,14,5,12,8,6,15,1,4,2,7,11,13,10
4,12,6,9,10,7,15,14,,1,8,3,13,5,11
12,4,9,8,7,1,11,10,6,14,3,2,13,15,5
7,3,9,5,12,8,6,2,4,14,15,10,1,13,11
2,3,12,5,7,15,4,8,11,6,13,14,9,10,1
14,7,13,9,1,6,15,10,8,11,12,3,2,4,5
15,11,9,12,4,1,8,a,14,5,3,2,7,6,10
13,12,15,4,9,3,11,8,6,7,2,5,10,14,1
1,15,12,3,7,9,4,5,6,13,11,14,8,2,10
8,7,9,3,4,12,5,14,1,11,15,10,6,2,13
11,4,11,8,8,8,7,11,10,3,4,10,1,9,12
4,10,10,10,4,9,9,8,1,11,1,11,3,8,7
8,11,1,4,3,9,9,1,9,10,4,8,11,3,10
9,3,10,4,9,10,1,1,7,8,7,9,5,3,11
6,11,10,5,5,3,8,9,8,1,10,11,9,10,6
